Task ID: 1	Task: getting organized at work
	Subtask ID: 1	Description: Checklist for getting organized at work
		2	getting organized at work
		2	getting organized at work 24 lessons
		1	Proper work organizing
		1	getting better organized
		1	getting organized
		1	getting organized and planning ahead
		1	getting organized at work templates
		1	guide to getting organized
		1	myworkplanning.com
		1	organizing tips
		1	tasks and organize work
		1	tools for work organization
		1	work organization and tracking
		1	work organizing system
	Subtask ID: 2	Description: How to organize office desk
		2	getting organized at work
		2	getting organized at work 24 lessons
		1	Proper work organizing
		1	getting organized at work templates
		1	myworkplanning.com
		1	tools for work organization
		1	work organizing system
	Subtask ID: 3	Description: Tips for getting organized at work
		2	Proper work organizing
		2	getting organized at work
		2	getting organized at work 24 lessons
		1	getting better organized
		1	getting organized
		1	getting organized and planning ahead
		1	getting organized at work templates
		1	guide to getting organized
		1	myworkplanning.com
		1	organizing tips
		1	tasks and organize work
		1	tools for work organization
		1	work organization and tracking
		1	work organizing is an art
		1	work organizing system
	Subtask ID: 4	Description: Organize schedule at office
		2	create a schedule
		2	getting organized at work
		2	getting organized at work 24 lessons
		1	Management Work organizer
		1	Proper work organizing
		1	getting organized and planning ahead
		1	getting organized at work templates
		1	myworkplanning.com
		1	schedule
		1	tasks and organize work
		1	tools for work organization
		1	work organization and tracking
		1	work organizing system
	Subtask ID: 5	Description: How to create a todo/task list
		2	getting organized at work
		2	getting organized at work 24 lessons
		1	Management Work organizer
		1	Proper work organizing
		1	chore lists
		1	getting organized at work internet
		1	getting organized at work templates
		1	myworkplanning.com
		1	tasks and organize work
		1	tools for work organization
		1	work organization and tracking
		1	work organizing system
	Subtask ID: 6	Description: How to keep a calendar of scheduled meetings and travel
		2	getting organized at work
		2	getting organized at work 24 lessons
		1	Proper work organizing
		1	create a schedule
		1	getting organized and planning ahead
		1	getting organized at work internet
		1	getting organized at work templates
		1	keep schedules
		1	myworkplanning.com
		1	schedule
		1	tasks and organize work
		1	tools for work organization
		1	work organization and tracking
		1	work organizing system
	Subtask ID: 7	Description: How to set deadlines and goals
		2	getting organized at work
		2	getting organized at work 24 lessons
		2	plan a deadline
		1	Management Work organizer
		1	Proper work organizing
		1	getting organized and planning ahead
		1	getting organized at work templates
		1	make goals
		1	myworkplanning.com
		1	tasks and organize work
		1	tools for work organization
		1	work organizing system
	Subtask ID: 8	Description: How to organize your work space
		2	getting organized at work
		2	getting organized at work 24 lessons
		1	Proper work organizing
		1	getting organized at work templates
		1	myworkplanning.com
		1	tools for work organization
		1	work organizing is an art
		1	work organizing system
	Subtask ID: 9	Description: How to log the time you spend
		2	getting organized at work
		2	getting organized at work 24 lessons
		1	Proper work organizing
		1	getting organized at work internet
		1	getting organized at work templates
		1	myworkplanning.com
		1	tools for work organization
		1	work organization and tracking
		1	work organizing system
	Subtask ID: 10	Description: Methods to track your progress towards goals
		2	getting organized at work
		2	getting organized at work 24 lessons
		1	Proper work organizing
		1	getting organized at work templates
		1	myworkplanning.com
		1	tools for work organization
		1	work organization and tracking
		1	work organizing system
	Subtask ID: 11	Description: How to set up a filing system with a binder or folders
		2	getting organized at work
		2	getting organized at work 24 lessons
		1	Proper work organizing
		1	getting organized at work templates
		1	myworkplanning.com
		1	tools for work organization
		1	work organizing system
Task ID: 2	Task: choose bathroom
	Subtask ID: 1	Description: Find bathroom designs/ideas
		2	Categories Choosing Bathroom
		2	Choose A Bathroom Wall
		2	Choosing Bathroom Accessories
		2	Choosing Bathroom Fixtures
		2	Choosing Bathroom Shower
		2	Choosing Your Bathroom Cabinets
		2	Faucets Choosing Bathroom
		2	Related to Choosing Bathroom
		2	Vanity How To Choose A Bathroom
		2	about Choosing Bathroom
		2	allow sunlight
		2	appearance in your bathroom by choosing
		2	basin how to choose bathroom
		2	bath grande oversized reversible rug
		2	bath mat
		2	bathroom accessories
		2	bathroom brass
		2	bathroom by choosing the right
		2	bathroom cabinets
		2	bathroom cabinets lighting
		2	bathroom choosing the best
		2	bathroom decor
		2	bathroom design tagged
		2	bathroom designer luxury
		2	bathroom designs design tagged
		2	bathroom faucets
		2	bathroom fixtures
		2	bathroom furniture
		2	bathroom grande rugs
		2	bathroom oak cabinet design furniture vanity
		2	bathroom remodel bathroomremodel
		2	bathroom remodel questions to ask a contractor
		2	bathroom remodeling
		2	bathroom renovations
		2	bathroom scale
		2	bathroom shower curtain
		2	bathroom sink
		2	bathroom sink ideas
		2	bathroom sink information
		2	bathroom sink plumbing
		2	bathroom tagged
		2	bathroom tops accessories vanity
		2	bathroom vanities
		2	bathroom vanities showers toilets lowe s
		2	bathroom vanity
		2	bathroom vanity accessories furniture
		2	bathroom vanity oak furniture
		2	bathroom vanity sinks furniture
		2	bathroom vanity units
		2	bathroom walls
		2	bathroomcornervanity corner bathroom vanity
		2	bathtubs how to choose bathroom
		2	best bathroom accessory bathroom shower curtain
		2	buy a liner
		2	buy a liner to
		2	buy bathroom remodeling choosing
		2	cheap bathroom suites
		2	choose a bathroom
		2	choose a bathroom light
		2	choose a type bathroom
		2	choose bathroom accessories
		2	choose bathroom bathroomcornervanity corner vanity
		2	choose bathroom brass
		2	choose bathroom cabinets
		2	choose bathroom cabinets lighting
		2	choose bathroom colors
		2	choose bathroom decor
		2	choose bathroom design tagged
		2	choose bathroom designer luxury
		2	choose bathroom designs design tagged
		2	choose bathroom faucets two
		2	choose bathroom home
		2	choose bathroom home improvement
		2	choose bathroom home remodeling remodel
		2	choose bathroom homes designing
		2	choose bathroom lighting
		2	choose bathroom lighting design fixtures
		2	choose bathroom lighting design software
		2	choose bathroom lighting modern design contemporary
		2	choose bathroom oak cabinet design furniture vanity
		2	choose bathroom remodel bathroomremodel
		2	choose bathroom remodeling
		2	choose bathroom small
		2	choose bathroom small designs
		2	choose bathroom tagged
		2	choose bathroom toilet
		2	choose bathroom tops accessories vanity
		2	choose bathroom vanities
		2	choose bathroom vanities the
		2	choose bathroom vanity accessories furniture
		2	choose bathroom vanity oak furniture
		2	choose bathroom vanity sinks furniture
		2	choose bathroom wall bathroomcabinetwall cabinet
		2	choose bathroom warmers
		2	choose hanging lights
		2	choosing bathroom fixtures
		2	claw foot home perfect tub
		2	custom bathroom vanity
		2	decorating your bathroom choosing
		2	fabric curtains
		2	faucets bathroom two
		2	find fixtures
		2	flat paint
		2	home bathroom remodeling remodel
		2	home safety
		2	homes designing
		2	how to choose a bathroom suite
		2	how to choose bathroom accessories and bathtubs
		2	how to choose bathroom exhaust fans
		2	how to choose bathroom hardware
		2	how to choose bathroom plumbing fixtures
		2	how to choose bathroom sink faucets
		2	how to choose bathroom tiles
		2	how to install a bathroom sink
		2	ideas choosing bathroom
		2	install storage
		2	light fixture
		2	lighten things
		2	lighting bathroom design fixtures
		2	lighting bathroom design software
		2	lighting bathroom modern design contemporary
		2	mirror
		2	mirrors how to choose bathroom
		2	modern bathroom ideas choosing
		2	rugs how to choose bathroom
		2	shower faucets
		2	small bathrooms
		2	small designs bathrooms
		2	suite bathroom
		2	tips to choose relaxing bathroom accessories
		2	to choose bathroom accessories and towel poles
		2	update light fixtures
		2	vanities bathroom
		2	vanities the bathroom
		2	wall bathroomcabinetwall bathroom cabinet
		1	a bathroom
		1	appraise your bathroom
		1	bathroom generation tissue unscented
		1	bathroom name product tissue unscented
		1	choosing bathroom colours
		1	do it entirely
		1	experiment
		1	full bathroom
		1	fun choosing bathroom
		1	good washing
		1	home bathroom
		1	home improvement
		1	include floors
		1	leave space
		1	measure
		1	more photos
		1	one bathroom
		1	our master bathroom
		1	poles choosing bathroom
		1	remember to leave space
		1	replace it yet
		1	sets choosing bathroom
		1	storage
		1	the bathroom
		1	the liner
		1	the room
		1	your bathroom
	Subtask ID: 2	Description: Find bathroom decorations or bathroom decoration ideas
		2	Categories Choosing Bathroom
		2	Choose A Bathroom Wall
		2	Choosing Bathroom Accessories
		2	Choosing Bathroom Fixtures
		2	Choosing Bathroom Shower
		2	Choosing Your Bathroom Cabinets
		2	Faucets Choosing Bathroom
		2	Related to Choosing Bathroom
		2	Vanity How To Choose A Bathroom
		2	about Choosing Bathroom
		2	appearance in your bathroom by choosing
		2	basin how to choose bathroom
		2	bath grande oversized reversible rug
		2	bath mat
		2	bathroom accessories
		2	bathroom brass
		2	bathroom by choosing the right
		2	bathroom cabinets
		2	bathroom cabinets lighting
		2	bathroom choosing the best
		2	bathroom decor
		2	bathroom design tagged
		2	bathroom designer luxury
		2	bathroom designs design tagged
		2	bathroom faucets
		2	bathroom fixtures
		2	bathroom furniture
		2	bathroom grande rugs
		2	bathroom oak cabinet design furniture vanity
		2	bathroom remodel bathroomremodel
		2	bathroom remodel questions to ask a contractor
		2	bathroom remodeling
		2	bathroom renovations
		2	bathroom scale
		2	bathroom shower curtain
		2	bathroom sink
		2	bathroom sink ideas
		2	bathroom sink information
		2	bathroom sink plumbing
		2	bathroom tagged
		2	bathroom tops accessories vanity
		2	bathroom vanities
		2	bathroom vanities showers toilets lowe s
		2	bathroom vanity
		2	bathroom vanity accessories furniture
		2	bathroom vanity oak furniture
		2	bathroom vanity sinks furniture
		2	bathroom vanity units
		2	bathroom walls
		2	bathroomcornervanity corner bathroom vanity
		2	bathtubs how to choose bathroom
		2	best bathroom accessory bathroom shower curtain
		2	buy a liner
		2	buy a liner to
		2	buy bathroom remodeling choosing
		2	cheap bathroom suites
		2	choose a bathroom
		2	choose a bathroom light
		2	choose a type bathroom
		2	choose bathroom accessories
		2	choose bathroom bathroomcornervanity corner vanity
		2	choose bathroom brass
		2	choose bathroom cabinets
		2	choose bathroom cabinets lighting
		2	choose bathroom colors
		2	choose bathroom decor
		2	choose bathroom design tagged
		2	choose bathroom designer luxury
		2	choose bathroom designs design tagged
		2	choose bathroom faucets two
		2	choose bathroom home
		2	choose bathroom home improvement
		2	choose bathroom home remodeling remodel
		2	choose bathroom homes designing
		2	choose bathroom lighting
		2	choose bathroom lighting design fixtures
		2	choose bathroom lighting design software
		2	choose bathroom lighting modern design contemporary
		2	choose bathroom oak cabinet design furniture vanity
		2	choose bathroom remodel bathroomremodel
		2	choose bathroom remodeling
		2	choose bathroom small
		2	choose bathroom small designs
		2	choose bathroom tagged
		2	choose bathroom toilet
		2	choose bathroom tops accessories vanity
		2	choose bathroom vanities
		2	choose bathroom vanities the
		2	choose bathroom vanity accessories furniture
		2	choose bathroom vanity oak furniture
		2	choose bathroom vanity sinks furniture
		2	choose bathroom wall bathroomcabinetwall cabinet
		2	choose bathroom warmers
		2	choose hanging lights
		2	choosing bathroom angel
		2	choosing bathroom colours
		2	choosing bathroom fixtures
		2	claw foot home perfect tub
		2	custom bathroom vanity
		2	decorating your bathroom choosing
		2	fabric curtains
		2	faucets bathroom two
		2	find fixtures
		2	flat paint
		2	home bathroom remodeling remodel
		2	how to choose a bathroom suite
		2	how to choose bathroom accessories and bathtubs
		2	how to choose bathroom hardware
		2	how to choose bathroom sink faucets
		2	how to choose bathroom tiles
		2	ideas choosing bathroom
		2	install storage
		2	light fixture
		2	lighten things
		2	lighting bathroom design fixtures
		2	lighting bathroom design software
		2	lighting bathroom modern design contemporary
		2	mirror
		2	mirrors how to choose bathroom
		2	modern bathroom ideas choosing
		2	rugs how to choose bathroom
		2	shower curtain
		2	shower curtain hardware
		2	shower curtain material
		2	shower curtains
		2	shower faucets
		2	small bathrooms
		2	small designs bathrooms
		2	suite bathroom
		2	tips to choose relaxing bathroom accessories
		2	to choose bathroom accessories and towel poles
		2	towel
		2	update light fixtures
		2	vanities bathroom
		2	vanities the bathroom
		2	wall bathroomcabinetwall bathroom cabinet
		2	while fabric curtains
		1	a bathroom
		1	allow sunlight
		1	appraise your bathroom
		1	bathroom generation tissue unscented
		1	bathroom name product tissue unscented
		1	do it entirely
		1	experiment
		1	full bathroom
		1	fun choosing bathroom
		1	home bathroom
		1	home improvement
		1	home safety
		1	how to choose bathroom exhaust fans
		1	include floors
		1	measure
		1	more photos
		1	one bathroom
		1	our master bathroom
		1	poles choosing bathroom
		1	replace it yet
		1	sets choosing bathroom
		1	storage
		1	the bathroom
		1	the room
		1	your bathroom
	Subtask ID: 3	Description: Find bathroom furniture
		2	Categories Choosing Bathroom
		2	Choosing Bathroom Accessories
		2	Choosing Bathroom Fixtures
		2	Choosing Your Bathroom Cabinets
		2	Related to Choosing Bathroom
		2	Vanity How To Choose A Bathroom
		2	about Choosing Bathroom
		2	appearance in your bathroom by choosing
		2	basin how to choose bathroom
		2	bath grande oversized reversible rug
		2	bathroom accessories
		2	bathroom brass
		2	bathroom by choosing the right
		2	bathroom cabinets
		2	bathroom cabinets lighting
		2	bathroom choosing the best
		2	bathroom decor
		2	bathroom design tagged
		2	bathroom designer luxury
		2	bathroom designs design tagged
		2	bathroom faucets
		2	bathroom fixtures
		2	bathroom furniture
		2	bathroom grande rugs
		2	bathroom oak cabinet design furniture vanity
		2	bathroom remodel bathroomremodel
		2	bathroom remodel questions to ask a contractor
		2	bathroom remodeling
		2	bathroom renovations
		2	bathroom scale
		2	bathroom sink
		2	bathroom sink ideas
		2	bathroom sink information
		2	bathroom sink plumbing
		2	bathroom tagged
		2	bathroom tops accessories vanity
		2	bathroom vanities
		2	bathroom vanities showers toilets lowe s
		2	bathroom vanity
		2	bathroom vanity accessories furniture
		2	bathroom vanity oak furniture
		2	bathroom vanity sinks furniture
		2	bathroom vanity units
		2	bathroom walls
		2	bathroomcornervanity corner bathroom vanity
		2	bathtubs how to choose bathroom
		2	best bathroom accessory bathroom shower curtain
		2	buy a liner
		2	buy a liner to
		2	buy bathroom remodeling choosing
		2	cheap bathroom suites
		2	choose a bathroom
		2	choose a bathroom light
		2	choose a type bathroom
		2	choose bathroom accessories
		2	choose bathroom bathroomcornervanity corner vanity
		2	choose bathroom cabinets
		2	choose bathroom cabinets lighting
		2	choose bathroom colors
		2	choose bathroom decor
		2	choose bathroom design tagged
		2	choose bathroom designer luxury
		2	choose bathroom designs design tagged
		2	choose bathroom home
		2	choose bathroom home improvement
		2	choose bathroom home remodeling remodel
		2	choose bathroom homes designing
		2	choose bathroom oak cabinet design furniture vanity
		2	choose bathroom remodel bathroomremodel
		2	choose bathroom remodeling
		2	choose bathroom small
		2	choose bathroom small designs
		2	choose bathroom tagged
		2	choose bathroom tops accessories vanity
		2	choose bathroom vanities
		2	choose bathroom vanities the
		2	choose bathroom vanity accessories furniture
		2	choose bathroom vanity oak furniture
		2	choose bathroom vanity sinks furniture
		2	choose bathroom wall bathroomcabinetwall cabinet
		2	choose hanging lights
		2	choosing bathroom fixtures
		2	custom bathroom vanity
		2	decorating your bathroom choosing
		2	find fixtures
		2	home bathroom remodeling remodel
		2	how to choose a bathroom suite
		2	how to choose bathroom accessories and bathtubs
		2	how to choose bathroom hardware
		2	ideas choosing bathroom
		2	install storage
		2	modern bathroom ideas choosing
		2	small bathrooms
		2	small designs bathrooms
		2	suite bathroom
		2	to choose bathroom accessories and towel poles
		2	vanities bathroom
		2	vanities the bathroom
		2	wall bathroomcabinetwall bathroom cabinet
		1	Choose A Bathroom Wall
		1	Choosing Bathroom Shower
		1	Faucets Choosing Bathroom
		1	a bathroom
		1	appraise your bathroom
		1	bath mat
		1	bathroom generation tissue unscented
		1	bathroom name product tissue unscented
		1	choose bathroom brass
		1	choose bathroom faucets two
		1	choose bathroom lighting
		1	choose bathroom lighting design fixtures
		1	choose bathroom lighting design software
		1	choose bathroom lighting modern design contemporary
		1	choose bathroom toilet
		1	choosing bathroom colours
		1	claw foot home perfect tub
		1	do it entirely
		1	experiment
		1	full bathroom
		1	fun choosing bathroom
		1	home bathroom
		1	home improvement
		1	home safety
		1	how to choose bathroom exhaust fans
		1	include floors
		1	lighten things
		1	measure
		1	more photos
		1	one bathroom
		1	our master bathroom
		1	poles choosing bathroom
		1	remember to leave space
		1	replace it yet
		1	rugs how to choose bathroom
		1	sets choosing bathroom
		1	shop by brand
		1	storage
		1	tape measure to measure
		1	the bathroom
		1	the room
		1	use a tape measure
		1	your bathroom
	Subtask ID: 4	Description: Choose a color scheme and style
		2	Categories Choosing Bathroom
		2	Choose A Bathroom Wall
		2	Choosing Bathroom Accessories
		2	Choosing Bathroom Fixtures
		2	Choosing Bathroom Shower
		2	Choosing Your Bathroom Cabinets
		2	Faucets Choosing Bathroom
		2	Related to Choosing Bathroom
		2	Vanity How To Choose A Bathroom
		2	about Choosing Bathroom
		2	appearance in your bathroom by choosing
		2	basin how to choose bathroom
		2	bath grande oversized reversible rug
		2	bath mat
		2	bathroom accessories
		2	bathroom brass
		2	bathroom by choosing the right
		2	bathroom cabinets
		2	bathroom cabinets lighting
		2	bathroom choosing the best
		2	bathroom decor
		2	bathroom design tagged
		2	bathroom designer luxury
		2	bathroom designs design tagged
		2	bathroom faucets
		2	bathroom fixtures
		2	bathroom furniture
		2	bathroom grande rugs
		2	bathroom oak cabinet design furniture vanity
		2	bathroom remodel bathroomremodel
		2	bathroom remodel questions to ask a contractor
		2	bathroom remodeling
		2	bathroom renovations
		2	bathroom scale
		2	bathroom shower curtain
		2	bathroom sink
		2	bathroom sink ideas
		2	bathroom sink information
		2	bathroom sink plumbing
		2	bathroom tagged
		2	bathroom tops accessories vanity
		2	bathroom vanities
		2	bathroom vanities showers toilets lowe s
		2	bathroom vanity
		2	bathroom vanity accessories furniture
		2	bathroom vanity oak furniture
		2	bathroom vanity sinks furniture
		2	bathroom vanity units
		2	bathroom walls
		2	bathroomcornervanity corner bathroom vanity
		2	bathtubs how to choose bathroom
		2	best bathroom accessory bathroom shower curtain
		2	buy a liner
		2	buy a liner to
		2	buy bathroom remodeling choosing
		2	cheap bathroom suites
		2	choose a bathroom
		2	choose a bathroom light
		2	choose bathroom accessories
		2	choose bathroom bathroomcornervanity corner vanity
		2	choose bathroom brass
		2	choose bathroom cabinets
		2	choose bathroom cabinets lighting
		2	choose bathroom colors
		2	choose bathroom decor
		2	choose bathroom design tagged
		2	choose bathroom designer luxury
		2	choose bathroom designs design tagged
		2	choose bathroom faucets two
		2	choose bathroom home
		2	choose bathroom home improvement
		2	choose bathroom home remodeling remodel
		2	choose bathroom homes designing
		2	choose bathroom lighting
		2	choose bathroom lighting design fixtures
		2	choose bathroom lighting design software
		2	choose bathroom lighting modern design contemporary
		2	choose bathroom oak cabinet design furniture vanity
		2	choose bathroom remodel bathroomremodel
		2	choose bathroom remodeling
		2	choose bathroom small
		2	choose bathroom small designs
		2	choose bathroom tagged
		2	choose bathroom toilet
		2	choose bathroom tops accessories vanity
		2	choose bathroom vanities
		2	choose bathroom vanities the
		2	choose bathroom vanity accessories furniture
		2	choose bathroom vanity oak furniture
		2	choose bathroom vanity sinks furniture
		2	choose bathroom wall bathroomcabinetwall cabinet
		2	choose hanging lights
		2	choosing bathroom colours
		2	choosing bathroom fixtures
		2	claw foot home perfect tub
		2	custom bathroom vanity
		2	decorating your bathroom choosing
		2	fabric curtains
		2	faucets bathroom two
		2	find fixtures
		2	flat paint
		2	home bathroom remodeling remodel
		2	how to choose a bathroom suite
		2	how to choose bathroom accessories and bathtubs
		2	how to choose bathroom hardware
		2	how to choose bathroom sink faucets
		2	how to choose bathroom tiles
		2	ideas choosing bathroom
		2	install storage
		2	lighten things
		2	lighting bathroom design fixtures
		2	lighting bathroom modern design contemporary
		2	modern bathroom ideas choosing
		2	rugs how to choose bathroom
		2	shower curtain
		2	shower curtain hardware
		2	shower curtain material
		2	shower curtains
		2	shower faucets
		2	small bathrooms
		2	small designs bathrooms
		2	suite bathroom
		2	tips to choose relaxing bathroom accessories
		2	to choose bathroom accessories and towel poles
		2	towel
		2	update light fixtures
		2	wall bathroomcabinetwall bathroom cabinet
		2	while fabric curtains
		1	a bathroom
		1	appraise your bathroom
		1	bathroom generation tissue unscented
		1	bathroom name product tissue unscented
		1	choose a type bathroom
		1	choosing bathroom angel
		1	do it entirely
		1	experiment
		1	full bathroom
		1	fun choosing bathroom
